"sim","scaleC","N","PH","b0","b1","b2","b0_se","b1_se","b2_se"
1,0.35,500,FALSE,0.996041777982636,1.3729411468374,0.160570829497555,0.0820287063908737,0.200929071451473,0.0902156114555848
2,0.35,500,FALSE,0.812584609323912,2.06176365524167,0.0753224876180534,0.0812679470529885,0.204674196112735,0.0896114672747701
3,0.35,500,FALSE,1.00038039391939,1.81779772926575,0.116019387016815,0.080200621039775,0.207718190408714,0.0891124975133136
4,0.35,500,FALSE,0.743700949594972,2.30399396847251,0.0562411061818531,0.0837768704057433,0.237959605654357,0.0864229577824853
5,0.35,500,FALSE,0.753984657491641,2.06200545213667,0.171659062457436,0.0738413676484063,0.188595692179182,0.0835452936499067
6,0.35,500,FALSE,0.84172960951622,2.87133886032873,-0.0660805704256301,0.0891366412366528,0.29083142831472,0.0959442555560688
7,0.35,500,FALSE,0.896533269300809,1.70639823556231,-0.0312659807722836,0.0814385999322329,0.173019897698206,0.0907992646418027
8,0.35,500,FALSE,0.908031024326467,2.04292554228666,0.033924849129317,0.0948751488372221,0.250426045296945,0.0953528319553614
9,0.35,500,FALSE,0.986085212468436,1.80837455279946,0.0333060601274481,0.0712932090959322,0.171082684129824,0.0813791430597165
10,0.35,500,FALSE,0.665755066371076,1.82408321517341,0.286517980297906,0.0863554934061106,0.217778168092408,0.088976889227737
